Window,Model,Variant,N_Features,Stage1_AUC,Stage1_AUPR,MAE,RMSE,R2,Spearman,Norm_Gini,Top5_MAPE,Top10_MAPE,Revenue_Capture_10,Revenue_Capture_20,Lift_10,Precision_10,Decile_MAPE
1,Hurdle-RFM,rfm,16,0.794394217827137,0.7088128798049892,425.48508969141676,2102.036962985374,0.2549227670565609,0.4937366504551786,0.8426950268822339,0.8840122886316031,0.9140081044708751,65.67933979597944,78.64057250942734,6.567933979597944,0.5647058823529412,0.3992158039601346
1,Hurdle-Seq,seq,23,0.7905652491902622,0.7055084380187935,399.2709033421247,1853.8804556792159,0.42045915742159523,0.49312254467711447,0.8453214640884673,0.8783849034242958,0.8268108503713849,66.81076827944202,80.07360614828877,6.681076827944201,0.5764705882352941,0.44308891354846514
1,Hurdle-SemV2,sem_v2,35,0.7885401365644993,0.6976353220134655,418.5718381850284,2098.1635653089506,0.25766612646772635,0.5001330964075986,0.8480106944565626,0.8208732195432059,0.8978612105898491,66.11391696412953,80.67979807105203,6.611391696412953,0.5764705882352941,0.7585976971672361
1,Hurdle-AllV2,all_v2,43,0.77865119509302,0.6901357150315827,419.0740168110198,2087.3258960583207,0.2653150926626867,0.4863445088980937,0.840509165581376,0.8729755883102014,0.8521713274180567,66.36621912977543,78.82721353755859,6.636621912977543,0.5647058823529412,0.6085120505554407
2,Hurdle-RFM,rfm,16,0.7919103161449701,0.7415294567445079,248.51972898538244,548.3059373948365,0.5158264094963843,0.5389890719542484,0.7774209767161665,0.7220044545593034,0.7299795794524319,49.71102931058052,67.8282813054603,4.971102931058052,0.5333333333333333,0.19679361008578203
2,Hurdle-Seq,seq,23,0.8031650979288492,0.7506817724707695,247.6970332345883,530.9014054294192,0.546076204787569,0.5480013239613206,0.7813366120206008,0.6738378097252348,0.6840598816541572,49.16073093915266,67.09186493798876,4.916073093915266,0.5444444444444444,0.14891393539438835
2,Hurdle-SemV2,sem_v2,35,0.7983572552821122,0.7511109266054321,242.76913494990922,506.8038292343841,0.5863481464584418,0.5421935089947562,0.7805435725991544,0.6173799339659943,0.6934549651404935,50.36674593061,67.39089381299165,5.036674593061,0.5555555555555556,0.23545064809464428
2,Hurdle-AllV2,all_v2,43,0.8030191688295445,0.7562585942913075,247.21460512286157,537.793169070149,0.5342147166570546,0.5446203954907617,0.7849799358342371,0.6903148574810966,0.6632430404821132,49.16526505737209,68.57027841677358,4.916526505737209,0.5555555555555556,0.19163815641886078
3,Hurdle-RFM,rfm,16,0.8250841021195798,0.8442630170437053,700.5210255321342,3652.695411981314,0.5651822493018486,0.6415020314330041,0.8831976061645725,0.6692711963464081,0.6440356308748336,65.99107777474823,78.09439952088468,6.599107777474823,0.6836734693877551,0.3799035783314856
3,Hurdle-Seq,seq,23,0.8287742761026149,0.845377831286401,710.246289178705,3778.866037791239,0.5346246890142642,0.6453553688523619,0.8839149807860789,0.6236930166454356,0.6106971340332729,64.98758778658947,77.98064781335462,6.498758778658948,0.673469387755102,0.5165722566848078
3,Hurdle-SemV2,sem_v2,35,0.8320021464099231,0.8494225369610897,781.3093432666415,4739.069845210643,0.26807502633194136,0.6501605961385643,0.8834914891450739,0.7492047612707607,0.668885736713024,66.13168007529049,77.46535323834328,6.613168007529049,0.6938775510204082,0.24033249962501993
3,Hurdle-AllV2,all_v2,43,0.817885373454688,0.8393671381117068,760.7961153905569,4703.929102020306,0.2788893964797974,0.643260977258408,0.8807266172655546,0.6557385067517932,0.6250383665203649,65.23542021437463,78.44793765780982,6.523542021437462,0.6836734693877551,0.24675709018695655
4,Hurdle-RFM,rfm,16,0.7094246197948659,0.797304790389315,509.37440701195186,1109.5750951516347,0.49913723049743697,0.48254682437166596,0.7354404697701399,0.7971774431801747,0.7541517390743243,46.675875617367616,59.042054135894546,4.667587561736761,0.5606060606060606,0.1757684076833952
4,Hurdle-Seq,seq,23,0.7113000502596749,0.7921342847520475,464.72399787905664,865.725270149198,0.695094302854249,0.49898374250114724,0.7430086558686242,0.6677437887407965,0.7587658023866298,46.669953718322326,59.10745773886276,4.666995371832233,0.5606060606060606,0.28431538372889614
4,Hurdle-SemV2,sem_v2,35,0.7248562014854527,0.7980112108831999,493.6491626506514,1029.5431462930896,0.5687844100449857,0.49500340221169914,0.7312467047462935,0.7298224897481949,0.73382299771226,46.418279034435926,59.35465906311219,4.641827903443593,0.5454545454545454,0.18153755618966702
4,Hurdle-AllV2,all_v2,43,0.7144598946408294,0.782932745349474,489.6742096621367,967.683752660862,0.6190462537350838,0.49656742938005183,0.7291377934862688,0.7863599336011539,0.7140255850567824,46.92342160240803,58.45272033652198,4.692342160240803,0.5454545454545454,0.1570776871976539
5,Hurdle-RFM,rfm,16,0.8135429419402708,0.7836887900485191,416.05891162323076,2360.2775193844236,0.36415377703591945,0.5866290587953231,0.7293214649354864,0.5505186215464989,0.6923799102044061,56.06308965919994,67.63311896604819,5.606308965919994,0.5769230769230769,0.43398783935650637
5,Hurdle-Seq,seq,23,0.8130625115933964,0.7879082628006109,410.7169614775854,2166.8809428718814,0.46408482323009015,0.5860514532992787,0.6864670752093718,0.5173547056826235,0.6268050478110516,55.85815105701045,67.86968295545888,5.5858151057010454,0.6057692307692307,0.28463970968553354
5,Hurdle-SemV2,sem_v2,35,0.8101632350213319,0.7869555528897405,463.85943060374905,2655.686443625443,0.19503027041813625,0.5792931593568706,0.7110158112051147,0.6826482923400472,0.6817753334470767,55.97786302308843,67.92640943202886,5.597786302308843,0.6057692307692307,0.2926624629092938
5,Hurdle-AllV2,all_v2,43,0.7980856983861994,0.7742497147106571,420.50805440285507,2251.244466062803,0.4215427448283744,0.567338661484543,0.6756593131109796,0.5550531813278282,0.6473825905843553,55.826849146257715,68.00324279511662,5.582684914625771,0.6057692307692307,0.2827895871291269
