Feature_Group,N_Features,MAE_mean,MAE_std,R2_mean,R2_std,Norm_Gini_mean,Norm_Gini_std,Revenue_Capture_10_mean,Revenue_Capture_10_std,Top5_MAPE_mean
RFM only,3,458.58166440370724,232.6668800300814,0.456024434825056,0.0821716703181294,0.8216581520036401,0.057432466015326596,59.79004156598054,9.550711431425679,0.7429761311670653
+ Behavioral,10,452.97707244585825,240.45433451901735,0.44556012599354583,0.08084652980383122,0.8317222284017382,0.05756509790490157,59.55052026306697,9.162207488424166,0.7307988009498576
+ Interactions,16,458.3255619629087,242.63324020618242,0.43145668350954985,0.08620578690956551,0.8291824477988227,0.057275374654616844,59.68638491159751,10.136684505939861,0.74062111479352
+ Sequence (Full),23,447.9134415685268,229.5009600834033,0.5067318995141049,0.03416987523750088,0.8361156991219082,0.04838243666664624,60.81698010323809,9.478152395835576,0.7438939377834798
