Window,Model,MAE,RMSE,R2,Spearman,Norm_Gini,Top5_MAPE,Top10_MAPE,Revenue_Capture_10,Revenue_Capture_20,Lift_10,Precision_10,Decile_MAPE
1,dRNN (Dilated),16771.833024226085,30408.785416906725,-154.92607390921088,0.5130993077053143,0.8371518809039796,1.8710990151039564,1.8840641619345166,66.02896860630551,80.10823487862356,6.602896860630551,0.5529411764705883,74.77309863901613
2,dRNN (Dilated),298.97146818500323,1329.9017192010915,-1.8483561705726008,0.5407480857327627,0.7652616625310477,0.7009390243467978,0.7319570100628631,49.41431661430138,68.2539329886043,4.941431661430138,0.5666666666666667,0.23864873081015658
3,dRNN (Dilated),1154.1567455182492,10177.48434571973,-2.3756797071109492,0.6519036857014742,0.8793605213961609,0.6442800329759549,0.5865467357279355,65.25960565422186,78.42648853814319,6.525960565422186,0.673469387755102,0.5454379798474777
