feature,mean_abs_shap_norm
monetary,0.22421800645995243
seq_spend_recent_half,0.09867521798114859
spend_per_active_day,0.055209384989383235
avg_order_value,0.043244331267142486
sem_emb_2,0.028618547268036847
avg_basket_size,0.028501290197569328
sem_emb_1,0.02225602452365421
sem_emb_26,0.02154439039151177
sem_emb_5,0.020568594877120348
seq_spend_last_period,0.018078509344194586
sem_emb_27,0.017450368420542674
sem_emb_23,0.016670059956254927
sem_emb_7,0.01662580398820623
sem_emb_21,0.01576642237001827
sem_emb_0,0.015626215495711863
sem_emb_25,0.015287963121788515
sem_emb_14,0.015062457248266627
sem_emb_17,0.014859422058574235
seq_spend_slope,0.014488528447190122
sem_emb_29,0.013341673145611722
sem_emb_8,0.013291877456480057
sem_emb_31,0.012882114789703254
sem_emb_22,0.012690568159589145
sem_emb_3,0.012198636998249369
sem_emb_19,0.012155677424530246
sem_emb_18,0.01198513826156648
avg_days_between_orders,0.010963056027344664
sem_emb_12,0.010836787782844835
sem_emb_9,0.01075946202275406
sem_emb_16,0.010418946493563263
sem_emb_13,0.010171405684845036
sem_taste_drift,0.009999853310166201
regularity,0.009709368945415315
seq_recent_vs_older_ratio,0.00964771017366158
sem_emb_15,0.009441252915222442
sem_emb_11,0.009402825600248353
sem_emb_10,0.009040003846615685
sem_emb_24,0.008981430020085609
product_diversity,0.008811168121590858
sem_emb_20,0.008551151819310753
sem_taste_diversity,0.00851318093947636
frequency,0.008486564641365262
sem_emb_6,0.008179710104929133
sem_emb_28,0.008127426204015166
seq_active_periods,0.007649446503744021
seq_orders_slope,0.007333162696205714
tenure_days,0.006513730978800268
sem_emb_30,0.006137050460058346
sem_emb_4,0.005612159208355287
recency_days,0.004555865342005444
active_days,0.0008600555153788503
recency_to_snapshot,0.0
category_diversity,0.0
n_baskets,0.0
log_frequency,0.0
log_monetary,0.0
