variant,n_features,Norm_Gini,RevCapture_10,RevCapture_20,Lift_10,Precision_10,Spearman,MAE,RMSE,R2,Decile_MAPE
RFM,5,0.8943,69.65,79.41,6.965,0.64,0.6317,789.3,5461.64,0.3539,0.2102
RFM+behavioral,16,0.8987,69.99,81.06,6.999,0.64,0.6368,695.73,4497.62,0.5618,0.2046
RFM+sequence,11,0.8953,69.38,80.05,6.938,0.63,0.6358,723.94,5548.4,0.3332,0.2162
RFM+semantic,39,0.9066,69.51,81.0,6.951,0.61,0.6374,753.01,5625.09,0.3146,0.2836
ALL,56,0.9118,70.32,81.24,7.032,0.65,0.643,678.11,5154.97,0.4244,0.2447
