feature,mean_abs_shap_norm
seq_spend_recent_half,0.3748233322805773
recency_days,0.06926318396906915
monetary,0.038228423489573816
avg_order_value,0.026564099924289365
sem_taste_drift,0.022709909992448464
seq_active_periods,0.02116659125798492
regularity,0.01995010730474636
sem_emb_17,0.018201856445445575
seq_recent_vs_older_ratio,0.017450364001740788
category_diversity,0.016299143249668812
tenure_days,0.016265518581124277
sem_emb_6,0.015888836173193296
sem_emb_8,0.015281072761119402
sem_emb_19,0.015062824264849497
sem_emb_2,0.014677272215031503
sem_emb_15,0.012648838218118758
spend_per_active_day,0.01246132228309552
sem_emb_1,0.011989018783258679
sem_emb_30,0.010854182317557887
sem_emb_9,0.01059846900473236
sem_emb_28,0.010337377191808047
sem_emb_0,0.010256509127186206
avg_basket_size,0.010191310748153338
sem_emb_27,0.01012418024155944
seq_orders_slope,0.009967635572394771
sem_emb_22,0.009789718694297364
sem_taste_diversity,0.009503547404625359
sem_emb_4,0.00946194188053008
sem_emb_12,0.009251447123304002
sem_emb_31,0.008921887691572615
sem_emb_26,0.008144851183468712
sem_emb_29,0.008118327884488028
seq_spend_slope,0.00808344602929189
sem_emb_7,0.007952504404048799
sem_emb_25,0.00792607271111904
sem_emb_3,0.007711149608315822
sem_emb_24,0.007481048026050276
sem_emb_14,0.007458539841930234
sem_emb_18,0.007407257232873505
sem_emb_16,0.007405016645128625
sem_emb_5,0.007242962854665933
sem_emb_21,0.0071356920596912805
sem_emb_11,0.006236061530374572
avg_days_between_orders,0.006115011503972154
sem_emb_10,0.006112300133776572
active_days,0.0060853751492292545
sem_emb_23,0.0057360449502750445
frequency,0.005592247800561024
sem_emb_20,0.00548470506515935
product_diversity,0.005006506657639742
sem_emb_13,0.00334034339154358
seq_spend_last_period,3.461314333955482e-05
n_baskets,0.0
log_frequency,0.0
log_monetary,0.0
recency_to_snapshot,0.0
